content_id,name,magnet,quality,size,source,fileIdx,filename,provider,seeders,peers,season,episode,imdb_id,id_type
tt0133093,3D Peliculas,magnet:?xt=urn:btih:ab330f1fc0e6e26c443c4b720bbf976540d98067&dn=3D%20The%20Matrix%201%201999%20(3DHDTV%20Stereo3D%20HDTV%202x720p%202560x720%20Xvid4200%20AC3%20Spanish)%203Dcombine%20Stereoscopic%20Player%20unoficial%20IMAX3D%20Tridef.avi&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,720p,4.15 GB,torrentio-api,28,3D The Matrix 1 1999 (3DHDTV Stereo3D HDTV 2x720p 2560x720 Xvid4200 AC3 Spanish) 3Dcombine Stereoscopic Player unoficial IMAX3D Tridef.avi,Wolfmax4k,5,1,,,tt0133093,imdb
tt0133093,Imdb top 263 movies hindi english gdrive,magnet:?xt=urn:btih:66672b822002b6f19af478fb7c886787afee5f9f&dn=The.Matrix.1999.1080p.BrRip.x264.YIFY.mp4&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,1.86 GB,torrentio-api,222,The.Matrix.1999.1080p.BrRip.x264.YIFY.mp4,1337x,2123,636,,,tt0133093,imdb
tt0468569,Trilogia Batman [BluRay 1080p HEVC X265][10Bits][AC3 5.1 Castellano AC3 5.1-Ingles+Subs][ES-EN],magnet:?xt=urn:btih:96523a53ede4f9017dc2691fc5ca8dcab4e77b28&dn=El%20Caballero%20Oscuro%20H265.www.descargas2020.com.mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,3.7 GB,torrentio-api,2,El Caballero Oscuro H265.www.descargas2020.com.mkv,Wolfmax4k,2,,,,tt0468569,imdb
tt0468569,Imdb top 263 movies hindi english gdrive,magnet:?xt=urn:btih:66672b822002b6f19af478fb7c886787afee5f9f&dn=Batman.The.Dark.Knight.2008.1080p..x264.YIFY.mp4&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,1.7 GB,torrentio-api,24,Batman.The.Dark.Knight.2008.1080p..x264.YIFY.mp4,1337x,2123,636,,,tt0468569,imdb
