content_id,name,magnet,quality,size,source,fileIdx,filename,provider,seeders,peers,season,episode,imdb_id,id_type
tt2356777,series/3º Temp/True.Detective.3x05.Si.tienes.fantasmas.GrupoHDS.(Spa-Eng-SpanishSub-EnglishSub).WEB-DL.1080p.DD.5.1.h264-AC3.by.xcarles.(.mkv,magnet:?xt=urn:btih:6e36ffdb08a854eb1d18671dad203532caa42ec9&dn=True.Detective.3x05.Si.tienes.fantasmas.GrupoHDS.(Spa-Eng-SpanishSub-EnglishSub)..1080p.DD.5.1.h264-AC3.by.xcarles.(.mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,4.2 GB,torrentio-api,37,True.Detective.3x05.Si.tienes.fantasmas.GrupoHDS.(Spa-Eng-SpanishSub-EnglishSub)..1080p.DD.5.1.h264-AC3.by.xcarles.(.mkv,Wolfmax4k,65,19,3,5,tt2356777,imdb
tt2356777,series/3º Temp/True.Detective.3x03.El.gran.nunca.(Spa-Eng-SpanishSub-EnglishSub).WEB-DL.1080p.DD.5.1.h264-AC3.by.xcarles.(sharerip).mkv,magnet:?xt=urn:btih:6e36ffdb08a854eb1d18671dad203532caa42ec9&dn=True.Detective.3x03.El.gran.nunca.(Spa-Eng-SpanishSub-EnglishSub)..1080p.DD.5.1.h264-AC3.by.xcarles.(sharerip).mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,3.32 GB,torrentio-api,35,True.Detective.3x03.El.gran.nunca.(Spa-Eng-SpanishSub-EnglishSub)..1080p.DD.5.1.h264-AC3.by.xcarles.(sharerip).mkv,Wolfmax4k,65,19,3,3,tt2356777,imdb
tt2560140,[Trix] Shingeki no Kyojin (S01-04 + OVAs) (COMPLETE) [Dual Audio] (BD 1080p AV1 Opus) | Attack On Titan (AoT) + OADs | L'Attaque des Titans (SnK) VOSTFR (OAV),magnet:?xt=urn:btih:a71ed77d230c1d729c8ba2d8581f794f013ac65e&dn=%5BTrix%5D%20Shingeki%20no%20Kyojin%20S03E19%20(56)%20(1080p%20AV1)%20%5BB7739888%5D.mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce&tr=http%3A%2F%2Fopen.tracker.cl%3A1337%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fwepzone.net%3A6969%2Fannounce&tr=udp%3A%2F%2Fttk2.nbaonlineservice.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker2.dler.org%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.wepzone.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.tryhackx.org%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.srv00.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.ololosh.space%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.fnix.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.filemail.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.bittor.pw%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker-udp.gbitt.info%3A80%2Fannounce&tr=udp%3A%2F%2Ft.overflow.biz%3A6969%2Fannounce&tr=udp%3A%2F%2Fretracker01-msk-virt.corbina.net%3A80%2Fannounce&tr=udp%3A%2F%2Fpublic.tracker.vraphim.com%3A6969%2Fannounce&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=http%3A%2F%2Fanidex.moe%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.anirena.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.uw0.xyz%3A6969%2Fannounce&tr=http%3A%2F%2Fshare.camoe.cn%3A8080%2Fannounce&tr=http%3A%2F%2Ft.nyaatracker.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,242.02 MB,torrentio-api,63,[Trix] Shingeki no Kyojin S03E19 (56) (1080p AV1) [B7739888].mkv,NyaaSi,659,197,3,19,tt2560140,imdb
tt2560140,[Trix] Shingeki no Kyojin (S01-04 + OVAs) (COMPLETE) [Dual Audio] (BD 1080p AV1 Opus) | Attack On Titan (AoT) + OADs | L'Attaque des Titans (SnK) VOSTFR (OAV),magnet:?xt=urn:btih:a71ed77d230c1d729c8ba2d8581f794f013ac65e&dn=%5BTrix%5D%20Shingeki%20no%20Kyojin%20S01E09%20(09)%20(1080p%20AV1)%20%5BA584AC64%5D.mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce&tr=http%3A%2F%2Fopen.tracker.cl%3A1337%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fwepzone.net%3A6969%2Fannounce&tr=udp%3A%2F%2Fttk2.nbaonlineservice.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker2.dler.org%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.wepzone.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.tryhackx.org%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.srv00.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.ololosh.space%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.fnix.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.filemail.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.bittor.pw%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker-udp.gbitt.info%3A80%2Fannounce&tr=udp%3A%2F%2Ft.overflow.biz%3A6969%2Fannounce&tr=udp%3A%2F%2Fretracker01-msk-virt.corbina.net%3A80%2Fannounce&tr=udp%3A%2F%2Fpublic.tracker.vraphim.com%3A6969%2Fannounce&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=http%3A%2F%2Fanidex.moe%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.anirena.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.uw0.xyz%3A6969%2Fannounce&tr=http%3A%2F%2Fshare.camoe.cn%3A8080%2Fannounce&tr=http%3A%2F%2Ft.nyaatracker.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,266.04 MB,torrentio-api,16,[Trix] Shingeki no Kyojin S01E09 (09) (1080p AV1) [A584AC64].mkv,NyaaSi,659,197,1,9,tt2560140,imdb
