imdb_id,name,magnet,quality,size,source,fileIdx,filename,provider
tt0816692,Videos cosas,magnet:?xt=urn:btih:b78480949e8acea0135133ad162116947588c494&dn=InterstellarM1080.www.newpct1.com.mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,5.64 GB,torrentio-api,299,InterstellarM1080.www.newpct1.com.mkv,Wolfmax4k
tt0816692,0peliculas series,magnet:?xt=urn:btih:cca5d69debbb9dadf164d91ad6bbd8c04216f3be&dn=Interstellar.DVD.XviD.%5Bwww.DivxTotaL.com%5D.avi&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,SD,2.06 GB,torrentio-api,49,Interstellar.DVD.XviD.[www.DivxTotaL.com].avi,Wolfmax4k
tt1375666,0peliculas series,magnet:?xt=urn:btih:cca5d69debbb9dadf164d91ad6bbd8c04216f3be&dn=Origen.DVD.XviD.%5Bwww.DivxTotaL.com%5D.avi&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,SD,1.53 GB,torrentio-api,395,Origen.DVD.XviD.[www.DivxTotaL.com].avi,Wolfmax4k
tt1375666,Origen.2010.1080p-Dual-Lat,magnet:?xt=urn:btih:4310d8c0b133fca5e80d3cfbca413db02fe8fa11&dn=Origen.2010.1080p-Dual-Lat.mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,3.07 GB,torrentio-api,4,Origen.2010.1080p-Dual-Lat.mkv,Cinecalidad
tt6751668,Videos cosas,magnet:?xt=urn:btih:b78480949e8acea0135133ad162116947588c494&dn=Parasitos%20M1080.www.pctnew.org.mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,5.61 GB,torrentio-api,414,Parasitos M1080.www.pctnew.org.mkv,Wolfmax4k
tt6751668,Parasitos [BluRay 1080p HEVC X265][AC3 5.1 Castellano AC3 5.1-Coreano+Subs][ES-EN],magnet:?xt=urn:btih:f1c30e1fa20ac1992e231f697f11202f89aaba36&dn=Parasitos%20X265.www.pctnew.org.mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,6.54 GB,torrentio-api,3,Parasitos X265.www.pctnew.org.mkv,MejorTorrent
tt0993846,The.wolf.of.wall.street.2013.1080P-Dual-Lat,magnet:?xt=urn:btih:b97e256cca76a346a990a0abd7764329c24a524c&dn=The.wolf.of.wall.street.2013.1080P-Dual-Lat.mp4&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,2.76 GB,torrentio-api,1,The.wolf.of.wall.street.2013.1080P-Dual-Lat.mp4,Cinecalidad
tt0993846,El lobo de Wall Street (2013) HDRip,magnet:?xt=urn:btih:b804e616133e0a9d9f383598ca541c270495026c&dn=El%20lobo%20de%20Wall%20Street%20(HDRip)%20(EliteTorrent.net).avi&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,SD,2.82 GB,torrentio-api,,El lobo de Wall Street (HDRip) (EliteTorrent.net).avi,MejorTorrent
tt4154756,Avengers.infinity.war.2018.1080P-Dual-Lat,magnet:?xt=urn:btih:7a580d1ed467a3bb9999498f602439efe1d62047&dn=Avengers.infinity.war.2018.1080P-Dual-Lat.mp4&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,2.4 GB,torrentio-api,1,Avengers.infinity.war.2018.1080P-Dual-Lat.mp4,Cinecalidad
tt4154756,Descargar Vengadores 3 Infinity War [BluRay Rip][Castellano],magnet:?xt=urn:btih:c29a9735f5e7b76d95b28c7de84e9070ea6dead7&dn=Vengadores%203%20Infinity%20War%20%5BBluRay%20Rip%5D%5Bwww.planetatorrent.com%5D.avi&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,SD,2.55 GB,torrentio-api,,Vengadores 3 Infinity War [BluRay Rip][www.planetatorrent.com].avi,MejorTorrent
